name,lon,lat,stage,capacity,label,data
ZE05,-8.203243,40.1191,Lousã,100,Lousã -- ZE05,21/05/2021
ZE06,-8.210275,40.122699,Lousã,100,Lousã -- ZE06,21/05/2021
ZE07,-8.216863,40.12002,Lousã,100,Lousã -- ZE07,21/05/2021
ZE09,-8.075492,40.155124,Góis,100,Góis -- ZE09,21/05/2021
ZE10,-8.048087,40.17041,Góis,100,Góis -- ZE10,21/05/2021
ZE11,-8.032129,40.173542,Góis,100,Góis -- ZE11,21/05/2021
ZE12,-8.014538,40.152205,Góis,100,Góis -- ZE12,21/05/2021
ZE13,-7.950821,40.221173,Arganil,100,Arganil -- ZE13,21/05/2021
ZE14,-7.96431,40.21652,Arganil,100,Arganil -- ZE14,21/05/2021
ZE15,-7.970811,40.235465,Arganil,100,Arganil -- ZE15,21/05/2021
ZE16,-8.190181,40.451808,Mortágua,100,Mortágua -- ZE16,21/05/2021
ZE20,-8.124525,41.663738,Vieira do Minho,100,Vieira do Minho -- ZE20,22/05/2021
ZE21,-8.072335,41.659891,Vieira do Minho,100,Vieira do Minho -- ZE21,22/05/2021
ZE23,-8.084769,41.6271,Vieira do Minho,100,Vieira do Minho -- ZE23,22/05/2021
ZE24,-8.063734,41.604617,Vieira do Minho,100,Vieira do Minho -- ZE24,22/05/2021
ZE25,-8.028709,41.604098,Cabeceiras de Basto,100,Cabeceiras de Basto -- ZE25,22/05/2021
ZE26,-8.002925,41.645201,Cabeceiras de Basto,100,Cabeceiras de Basto -- ZE26,22/05/2021
ZE28,-7.950789,41.36918,Amarante,100,Amarante -- ZE28,22/05/2021
ZE29,-8.015744,41.312627,Amarante,100,Amarante -- ZE29,22/05/2021
ZE30,-7.997249,41.303753,Amarante,100,Amarante -- ZE30,22/05/2021
ZE31,-7.974609,41.282214,Amarante,100,Amarante -- ZE31,22/05/2021
ZE33,-8.196825,41.376216,Felgueiras,100,Felgueiras -- ZE33,23/05/2021
ZE34,-8.198653,41.374195,Felgueiras,100,Felgueiras -- ZE34,23/05/2021
ZE35,-8.202123,41.37912,Felgueiras,100,Felgueiras -- ZE35,23/05/2021
ZE36,-8.219514,41.397146,Felgueiras,100,Felgueiras -- ZE36,23/05/2021
ZE37,-8.103007,41.439643,Montim,100,Montim -- ZE37,23/05/2021
ZE38,-8.123982,41.434304,Montim,100,Montim -- ZE38,23/05/2021
ZE39,-8.134108,41.432259,Montim,100,Montim -- ZE39,23/05/2021
ZE4,-8.226653,40.10544,Lousã,100,Lousã -- ZE4,21/05/2021
ZE40,-8.081687,41.470174,Fafe,100,Fafe -- ZE40,23/05/2021
ZE41,-8.076463,41.473687,Fafe,100,Fafe -- ZE41,23/05/2021
ZE42,-8.0698,41.491716,Fafe,100,Fafe -- ZE42,23/05/2021
ZE43,-8.077088,41.498144,Fafe,100,Fafe -- ZE43,23/05/2021
ZE44,-8.090702,41.50512,Fafe,100,Fafe -- ZE44,23/05/2021
